service_request_id,requested_date,status_description,service_name,comm_name,address,longitude,latitude
26-00652728,2026-08-27,Open,Roads - Signs - Parking,SHAGANAPPI,,-114.1266528552515,51.04521146641257
26-00652538,2026-08-27,Open,Roads - Signs - Parking,BRIDLEWOOD,,-114.11020921039947,50.89921921581604
26-00654666,2026-08-27,Open,Roads - Signs - Parking,OGDEN,,-114.01243870034244,50.99187347872066
26-00652792,2026-08-27,Open,Roads - Signs - Parking,HORIZON,,-113.99169523733028,51.08990020616713
26-00652030,2026-08-27,Open,Roads - Signs - Parking,UNIVERSITY DISTRICT,,-114.14496478087015,51.07385411823228
26-00654863,2026-08-27,Open,Roads - Signs - Parking,INGLEWOOD,,-114.01912581291118,51.03414052413669
26-00653018,2026-08-27,Open,Roads - Signs - Parking,SOUTH AIRWAYS,,-114.00519380543584,51.07422107050224
26-00655284,2026-08-27,Open,Roads - Signs - Parking,CARRINGTON,,-114.08876332250163,51.18571527898334
26-00655080,2026-08-27,Open,Roads - Signs - Parking,HASKAYNE,,-114.28669528468198,51.11697203676882
26-00654216,2026-08-27,Open,Roads - Signs - Parking,DOVER,,-113.99305400906276,51.02256772313628
26-00649189,2026-08-26,Open,Roads - Signs - Parking,MAHOGANY,,-113.92463385892704,50.89594391667445
26-00651762,2026-08-26,Closed,Roads - Signs - Parking,BRAESIDE,,-114.10636590290346,50.95600269188388
26-00651657,2026-08-26,Open,Roads - Signs - Missing - Damaged,BELTLINE,,-114.0551860888619,51.03743796399198
26-00651513,2026-08-26,Open,Roads - Signs - Traffic and Roadmarking,TUSCANY,,-114.2408862053562,51.12191108825487
26-00648442,2026-08-26,Open,Roads - Signs - Traffic and Roadmarking,BRIDGELAND/RIVERSIDE,,-114.03507983816613,51.05055069499901
26-00653222,2026-08-27,Open,Roads - Debris on Street/Sidewalk/Boulevard,RICHMOND,,-114.11842028929551,51.02971029545911
26-00651996,2026-08-27,Closed,Roads - Debris on Street/Sidewalk/Boulevard,EDGEMONT,,-114.14395321027078,51.124587846873936
26-00654389,2026-08-27,Open,Roads - Debris on Street/Sidewalk/Boulevard,ASPEN WOODS,,-114.20838662695292,51.04521537783425
26-00653568,2026-08-27,Open,Roads - Debris on Street/Sidewalk/Boulevard,SANDSTONE VALLEY,,-114.094962509766,51.137732845524965
26-00655488,2026-08-27,Open,Roads - Debris on Street/Sidewalk/Boulevard,DOWNTOWN WEST END,,-114.08777935920996,51.04796914082405
26-00651966,2026-08-27,Open,Roads - Debris on Street/Sidewalk/Boulevard,SUNNYSIDE,,-114.07902910746358,51.05641953428092
