permitnum,address,category,description,statuscurrent,applieddate,decisiondate,communityname,ward,quadrant,latitude,longitude,srg,sector
DP2023-02986,5007 21A ST SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2023-05-10T00:00:00.000,2023-06-19T00:00:00.000,ALTADORE,8.0,SW,51.01,-114.114,ESTABLISHED,CENTRE
DP2023-03118,16 SUNMOUNT RD SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - PARKING STALL,In Advertising,2023-05-14T00:00:00.000,2023-08-04T00:00:00.000,SUNDANCE,14.0,SE,50.907,-114.037,ESTABLISHED,SOUTH
DP2023-03216,303 SETON RD SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - PARKING STALL SIZE,Pending Release,2023-05-17T00:00:00.000,2023-07-31T00:00:00.000,SETON,12.0,SE,50.864,-113.949,DEVELOPING,SOUTHEAST
DP2023-03301,1605 16A ST SE,Residential - Additions over 10 sq metres,ADDITION: SINGLE DETACHED DWELLING (REAR - MAIN FLOOR AND 2ND FLOOR),In Advertising,2023-05-22T00:00:00.000,2023-08-10T00:00:00.000,INGLEWOOD,9.0,SE,51.039,-114.022,ESTABLISHED,CENTRE
DP2023-03414,528 19 AV SW,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2023-05-26T00:00:00.000,2023-07-31T00:00:00.000,CLIFF BUNGALOW,8.0,SW,51.036,-114.073,ESTABLISHED,CENTRE
DP2023-03474,527 17 AV NW,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING),Hold,2023-05-29T00:00:00.000,,MOUNT PLEASANT,7.0,NW,51.068,-114.073,ESTABLISHED,CENTRE
DP2023-03513,4141 CRESTVIEW RD SW,Residential - Additions over 10 sq metres,ADDITION: SINGLE DETACHED DWELLING (2ND FLOOR REAR - ENCLOSED BALCONY),In Advertising,2023-05-30T00:00:00.000,2023-08-10T00:00:00.000,ELBOW PARK,8.0,SW,51.018,-114.09,ESTABLISHED,CENTRE
DP2023-03566,432 HIDDEN CREEK BV NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-05-31T00:00:00.000,2023-08-14T00:00:00.000,PANORAMA HILLS,3.0,NW,51.164,-114.101,ESTABLISHED,NORTH
DP2023-03525,1828 19 AV NW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2023-05-31T00:00:00.000,2023-07-14T00:00:00.000,CAPITOL HILL,7.0,NW,51.07,-114.104,ESTABLISHED,CENTRE
DP2023-03608,40 PANATELLA PR NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-02T00:00:00.000,2023-08-14T00:00:00.000,PANORAMA HILLS,3.0,NW,51.172,-114.076,ESTABLISHED,NORTH
