permitnum,address,category,description,statuscurrent,applieddate,decisiondate,communityname,ward,quadrant,latitude,longitude,srg,sector
DP2024-04600,909 8 AV NE,Residential - Secondary Suite,"NEW: DWELLING UNIT (ABOVE GARAGE), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-22T00:00:00.000,2024-11-29T00:00:00.000,RENFREW,9.0,NE,51.059,-114.042,ESTABLISHED,CENTRE
DP2024-04597,184 SAVANNA GD NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT SUITE) - AVPA,Released,2024-06-22T00:00:00.000,2024-08-19T00:00:00.000,SADDLE RIDGE,5.0,NE,51.139,-113.963,DEVELOPING,NORTHEAST
DP2024-04595,5146 WHITESTONE RD NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-22T00:00:00.000,2024-07-22T00:00:00.000,WHITEHORN,10.0,NE,51.085,-113.959,ESTABLISHED,NORTHEAST
DP2024-04614,46 CITYSIDE HE NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-23T00:00:00.000,2024-07-22T00:00:00.000,CITYSCAPE,5.0,NE,51.146,-113.963,DEVELOPING,NORTHEAST
DP2024-04648,3733 SPRINGBANK DR SW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-24T00:00:00.000,2024-07-31T00:00:00.000,SPRINGBANK HILL,6.0,SW,51.021,-114.203,DEVELOPING,WEST
DP2024-04647,81 ROCKCLIFF TC NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-24T00:00:00.000,2024-07-26T00:00:00.000,ROCKY RIDGE,1.0,NW,51.153,-114.239,ESTABLISHED,NORTHWEST
DP2024-04646,484 MIDRIDGE DR SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-24T00:00:00.000,2024-08-01T00:00:00.000,MIDNAPORE,14.0,SE,50.919,-114.062,ESTABLISHED,SOUTH
DP2024-04644,816 20 AV NW,Residential - Multi-Family,"NEW: DWELLING UNITS (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-24T00:00:00.000,2024-08-12T00:00:00.000,MOUNT PLEASANT,7.0,NW,51.071,-114.08,ESTABLISHED,CENTRE
DP2024-04643,1416 PREMIER WY SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Released,2024-06-24T00:00:00.000,2024-11-04T00:00:00.000,UPPER MOUNT ROYAL,8.0,SW,51.027,-114.092,ESTABLISHED,CENTRE
DP2024-04642,2029 35 AV SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Released,2024-06-24T00:00:00.000,2025-03-13T00:00:00.000,ALTADORE,8.0,SW,51.022,-114.108,ESTABLISHED,CENTRE
DP2024-04641,382 LEGACY CI SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-24T00:00:00.000,2024-07-29T00:00:00.000,LEGACY,14.0,SE,50.853,-114.008,DEVELOPING,SOUTH
DP2024-04639,3505 35 ST NE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (7 BUILDINGS); SOCIAL ORGANIZATION (1 BUILDING) (9 PHASES),Released,2024-06-24T00:00:00.000,2024-10-29T00:00:00.000,HORIZON,10.0,NE,51.084,-113.985,,NORTHEAST
DP2024-04638,4514 FORDHAM CR SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-24T00:00:00.000,2024-08-01T00:00:00.000,FOREST HEIGHTS,9.0,SE,51.052,-113.969,ESTABLISHED,EAST
DP2024-04637,1824 CAYUGA DR NW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Released,2024-06-24T00:00:00.000,2024-10-28T00:00:00.000,COLLINGWOOD,4.0,NW,51.09,-114.103,ESTABLISHED,NORTHWEST
DP2024-04629,434 28 AV NW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SINGLE DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-24T00:00:00.000,2024-07-22T00:00:00.000,MOUNT PLEASANT,7.0,NW,51.078,-114.069,ESTABLISHED,CENTRE
DP2024-04628,436 28 AV NW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SINGLE DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-24T00:00:00.000,2024-07-23T00:00:00.000,MOUNT PLEASANT,7.0,NW,51.078,-114.07,ESTABLISHED,CENTRE
DP2024-04626,2139 54 AV SW,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-24T00:00:00.000,2024-12-06T00:00:00.000,NORTH GLENMORE PARK,11.0,SW,51.005,-114.111,ESTABLISHED,WEST
DP2024-04618,7220 RANGE DR NW,Residential - Secondary Suite,"NEW: ACCESSORY RESIDENTIAL BUILDING (GARAGE), BACKYARD SUITE (ABOVE GARAGE)",Released,2024-06-24T00:00:00.000,2024-09-23T00:00:00.000,RANCHLANDS,2.0,NW,51.125,-114.193,ESTABLISHED,NORTHWEST
DP2024-04688,14B MARTINVIEW RD NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-25T00:00:00.000,2024-10-23T00:00:00.000,MARTINDALE,5.0,NE,51.113,-113.961,ESTABLISHED,NORTHEAST
DP2024-04682,169 CITYSIDE CM NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - PARKING STALL SIZE,Released,2024-06-25T00:00:00.000,2024-08-26T00:00:00.000,CITYSCAPE,5.0,NE,51.145,-113.963,DEVELOPING,NORTHEAST
DP2024-04681,172 MIDLAKE BV SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-25T00:00:00.000,2024-07-29T00:00:00.000,MIDNAPORE,14.0,SE,50.912,-114.049,ESTABLISHED,SOUTH
DP2024-04677,2824 CONRAD DR NW,Residential - Additions over 10 sq metres,"ADDITION: SINGLE DETACHED DWELLING (MAIN FLOOR - REAR & REAR ATTACHED GARAGE, 2ND FLOOR - REAR & SIDE CANTILEVER)",Released,2024-06-25T00:00:00.000,2024-08-26T00:00:00.000,CHARLESWOOD,4.0,NW,51.096,-114.119,ESTABLISHED,NORTHWEST
DP2024-04672,61 CARMANGAY CR NW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Released,2024-06-25T00:00:00.000,2024-09-06T00:00:00.000,COLLINGWOOD,4.0,NW,51.086,-114.107,ESTABLISHED,NORTHWEST
DP2024-04671,29 27 AV SW,Residential - Multi-Family,"NEW: SEMI-DETACHED DWELLING (2 BUILDINGS), SECONDARY SUITE (BASEMENTS - 4), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-25T00:00:00.000,2024-09-23T00:00:00.000,ERLTON,8.0,SW,51.029,-114.061,ESTABLISHED,CENTRE
DP2024-04670,222 PANTEGO VW NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-25T00:00:00.000,2024-07-26T00:00:00.000,PANORAMA HILLS,3.0,NW,51.167,-114.097,ESTABLISHED,NORTH
DP2024-04669,121 21 AV NE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING),Released,2024-06-25T00:00:00.000,2025-12-02T00:00:00.000,TUXEDO PARK,7.0,NE,51.071,-114.061,ESTABLISHED,CENTRE
DP2024-04668,1350 CORNERSTONE ST NE,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (15 PHASES, 13 BUILDINGS)",Released,2024-06-25T00:00:00.000,2025-01-16T00:00:00.000,CORNERSTONE,5.0,NE,51.166,-113.942,DEVELOPING,NORTHEAST
DP2024-04664,162 NOLAN HILL DR NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-25T00:00:00.000,2024-09-03T00:00:00.000,NOLAN HILL,2.0,NW,51.175,-114.161,COMPLETE,NORTH
DP2024-04663,304 WILDWOOD DR SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Released,2024-06-25T00:00:00.000,2024-12-04T00:00:00.000,WILDWOOD,6.0,SW,51.058,-114.156,ESTABLISHED,WEST
DP2024-04713,286 SAGE BLUFF DR NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-26T00:00:00.000,2024-07-29T00:00:00.000,SAGE HILL,2.0,NW,51.179,-114.138,DEVELOPING,NORTH
DP2024-04709,5104 21 AV NW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, SECONDARY SUITE (BASEMENT OF EACH UNIT - 2), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-26T00:00:00.000,2024-11-20T00:00:00.000,MONTGOMERY,7.0,NW,51.079,-114.163,ESTABLISHED,NORTHWEST
DP2024-04704,2209 26 ST SW,Residential - Contextual Dwelling,"NEW: DWELLING UNIT, SECONDARY SUITE (BASEMENT), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-26T00:00:00.000,2024-10-04T00:00:00.000,KILLARNEY/GLENGARRY,8.0,SW,51.034,-114.124,ESTABLISHED,CENTRE
DP2024-04700,289 CARRINGSBY WY NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-26T00:00:00.000,2024-07-31T00:00:00.000,CARRINGTON,3.0,NW,51.177,-114.09,DEVELOPING,NORTH
DP2024-04693,72 KELVIN PL SW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-26T00:00:00.000,2024-07-26T00:00:00.000,KINGSLAND,11.0,SW,50.981,-114.079,ESTABLISHED,SOUTH
DP2024-04692,2320 21 AV SW,Residential - Contextual Dwelling,"NEW: SEMI-DETACHED DWELLING, SECONDARY SUITE (BASEMENT - 2)",Released,2024-06-26T00:00:00.000,2025-02-10T00:00:00.000,RICHMOND,8.0,SW,51.035,-114.115,ESTABLISHED,CENTRE
DP2024-04689,45 SADDLEMONT RD NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-26T00:00:00.000,2024-07-22T00:00:00.000,SADDLE RIDGE,5.0,NE,51.128,-113.939,DEVELOPING,NORTHEAST
DP2024-04749,1612 16A ST SE,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE), BACKYARD SUITE (ABOVE GARAGE)",Released,2024-06-27T00:00:00.000,2024-07-29T00:00:00.000,INGLEWOOD,9.0,SE,51.039,-114.022,ESTABLISHED,CENTRE
DP2024-04748,57 EVANSBROOKE PA NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-27T00:00:00.000,2024-07-31T00:00:00.000,EVANSTON,2.0,NW,51.162,-114.12,COMPLETE,NORTH
DP2024-04747,2728 LAUREL CR SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Released,2024-06-27T00:00:00.000,2024-08-19T00:00:00.000,LAKEVIEW,11.0,SW,50.996,-114.123,ESTABLISHED,WEST
DP2024-04746,1321 10 AV SE,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SINGLE DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-27T00:00:00.000,2024-10-07T00:00:00.000,INGLEWOOD,9.0,SE,51.04,-114.034,ESTABLISHED,CENTRE
DP2024-04736,6719 HUNTSBAY RD NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - PARKING STALL,Released,2024-06-27T00:00:00.000,2024-08-02T00:00:00.000,HUNTINGTON HILLS,4.0,NW,51.111,-114.082,ESTABLISHED,NORTH
DP2024-04735,6717 HUNTSBAY RD NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - PARKING STALL ,Released,2024-06-27T00:00:00.000,2024-08-02T00:00:00.000,HUNTINGTON HILLS,4.0,NW,51.111,-114.082,ESTABLISHED,NORTH
DP2024-04733,161 COVERTON CI NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-27T00:00:00.000,2024-07-29T00:00:00.000,COVENTRY HILLS,3.0,NE,51.165,-114.04,ESTABLISHED,NORTH
DP2024-04728,25 PANATELLA WY NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-27T00:00:00.000,2024-08-01T00:00:00.000,PANORAMA HILLS,3.0,NW,51.166,-114.073,ESTABLISHED,NORTH
DP2024-04725,2333 24 AV SW,Residential - Multi-Family,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-27T00:00:00.000,2025-05-15T00:00:00.000,RICHMOND,8.0,SW,51.032,-114.116,ESTABLISHED,CENTRE
DP2024-04724,2424 27 ST SW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SEMI-DETACHED DWELLING, SECONDARY SUITE (BASEMENT - 2), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-27T00:00:00.000,2024-08-19T00:00:00.000,KILLARNEY/GLENGARRY,8.0,SW,51.032,-114.126,ESTABLISHED,CENTRE
DP2024-04719,7222 LAGUNA WY NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-27T00:00:00.000,2024-08-02T00:00:00.000,MONTEREY PARK,10.0,NE,51.087,-113.927,ESTABLISHED,NORTHEAST
DP2024-04782,89 MARTIN CROSSING GR NE,Residential - Secondary Suite,"NEW: ACCESSORY RESIDENTIAL BUILDING (GARAGE), BACKYARD SUITE (ABOVE GARAGE)",Released,2024-06-28T00:00:00.000,2024-08-12T00:00:00.000,MARTINDALE,5.0,NE,51.117,-113.958,ESTABLISHED,NORTHEAST
DP2024-04781,89 REDSTONE LI NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-28T00:00:00.000,2024-07-29T00:00:00.000,REDSTONE,5.0,NE,51.174,-113.966,DEVELOPING,NORTHEAST
DP2024-04779,4 SAGE HILL RI NW,Residential - Multi-Family,"NEW: TOWNHOUSE (2 BUILDINGS), ROWHOUSE BUILDING (6 BUILDINGS)",Released,2024-06-28T00:00:00.000,2025-09-24T00:00:00.000,SAGE HILL,2.0,NW,51.173,-114.135,DEVELOPING,NORTH
DP2024-04777,3110 40 ST SW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SEMI-DETACHED DWELLING, SECONDARY SUITE (BASEMENT - 2), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-28T00:00:00.000,2024-08-20T00:00:00.000,GLENBROOK,6.0,SW,51.027,-114.145,ESTABLISHED,WEST
DP2024-04775,5811 DALGETTY DR NW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-06-28T00:00:00.000,2024-12-24T00:00:00.000,DALHOUSIE,4.0,NW,51.104,-114.15,ESTABLISHED,NORTHWEST
DP2024-04774,328 SUPERIOR AV SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Released,2024-06-28T00:00:00.000,2024-09-18T00:00:00.000,SCARBORO,8.0,SW,51.04,-114.106,ESTABLISHED,CENTRE
DP2024-04773,2940 UNIVERSITY PL NW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Released,2024-06-28T00:00:00.000,2024-09-23T00:00:00.000,UNIVERSITY HEIGHTS,7.0,NW,51.073,-114.13,ESTABLISHED,NORTHWEST
DP2024-04769,4425 EDMONTON TR NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-28T00:00:00.000,2024-08-26T00:00:00.000,GREENVIEW,4.0,NE,51.092,-114.053,ESTABLISHED,CENTRE
DP2024-04762,2316 SUNSET AV SW,Residential - Additions over 10 sq metres,ADDITION: SINGLE DETACHED DWELLING (REAR WALKOUT BASEMENT),Released,2024-06-28T00:00:00.000,2024-08-26T00:00:00.000,SCARBORO/SUNALTA WEST,8.0,SW,51.04,-114.115,ESTABLISHED,CENTRE
DP2024-04761,18 HAULTAIN PL SW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-28T00:00:00.000,2024-07-29T00:00:00.000,HAYSBORO,11.0,SW,50.975,-114.077,ESTABLISHED,SOUTH
DP2024-04757,12 EVANSBOROUGH GA NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT); RELAXATION: SINGLE DETACHED DWELLING (COVERED ENTRY) - PROJECTION INTO SIDE SETBACK,Released,2024-06-28T00:00:00.000,2024-08-16T00:00:00.000,EVANSTON,2.0,NW,51.18,-114.121,COMPLETE,NORTH
DP2024-04796,260 NOLANCREST HT NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-30T00:00:00.000,2024-07-29T00:00:00.000,NOLAN HILL,2.0,NW,51.176,-114.169,COMPLETE,NORTH
DP2024-04795,95 TUSCANY ESTATES CL NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-30T00:00:00.000,2024-08-02T00:00:00.000,TUSCANY,1.0,NW,51.113,-114.247,ESTABLISHED,NORTHWEST
DP2024-04792,20 CARRINGHAM GA NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - PARKING STALL SIZE,Released,2024-06-30T00:00:00.000,2024-07-29T00:00:00.000,CARRINGTON,3.0,NW,51.186,-114.091,DEVELOPING,NORTH
DP2024-04790,446 CRIMSON RIDGE PL NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-06-30T00:00:00.000,2024-08-02T00:00:00.000,HASKAYNE,1.0,NW,51.109,-114.264,DEVELOPING,NORTHWEST
DP2024-04815,298 ARBOUR CREST DR NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-07-01T00:00:00.000,2024-07-30T00:00:00.000,ARBOUR LAKE,2.0,NW,51.14,-114.203,ESTABLISHED,NORTHWEST
DP2024-04814,7356 80 AV NE,Residential - Secondary Suite,"NEW: SECONDARY SUITE (BASEMENT), RELAXATION: SINGLE DETACHED DWELLING (COVERED STAIRWELL) - BUILDING SETBACK FROM SIDE PROPERTY LINE",Released,2024-07-01T00:00:00.000,2024-09-23T00:00:00.000,SADDLE RIDGE,5.0,NE,51.125,-113.927,DEVELOPING,NORTHEAST
DP2024-04812,779 81 ST SW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (2 BUILDINGS, 2 PHASES)",Released,2024-07-01T00:00:00.000,2024-12-09T00:00:00.000,WEST SPRINGS,6.0,SW,51.064,-114.205,DEVELOPING,WEST
DP2024-04808,4115 26 AV SW,Residential - Multi-Family,"NEW: DWELLING UNITS (1 BUILDING), SECONDARY SUITES",Released,2024-07-01T00:00:00.000,2025-01-09T00:00:00.000,GLENDALE,6.0,SW,51.03,-114.146,ESTABLISHED,WEST
DP2024-04805,246 43 AV NW,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE), BACKYARD SUITE (ABOVE GARAGE)",Released,2024-07-01T00:00:00.000,2024-10-21T00:00:00.000,HIGHLAND PARK,4.0,NW,51.093,-114.067,ESTABLISHED,CENTRE
DP2024-04804,97 SADDLELAND CL NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-07-01T00:00:00.000,2024-07-22T00:00:00.000,SADDLE RIDGE,5.0,NE,51.132,-113.939,DEVELOPING,NORTHEAST
DP2024-04803,81 CORNER MEADOWS GD NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - PARKING STALL SIZE,Released,2024-07-01T00:00:00.000,2024-07-29T00:00:00.000,CORNERSTONE,5.0,NE,51.15,-113.926,DEVELOPING,NORTHEAST
DP2024-04802,51 SAVANNA GD NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-07-01T00:00:00.000,2024-07-31T00:00:00.000,SADDLE RIDGE,5.0,NE,51.136,-113.964,DEVELOPING,NORTHEAST
DP2024-04801,70 MONTROSE CR NE,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING (SOUTH LOT), SECONDARY SUITE (BASEMENT), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-07-01T00:00:00.000,2024-09-11T00:00:00.000,WINSTON HEIGHTS/MOUNTVIEW,4.0,NE,51.069,-114.044,ESTABLISHED,CENTRE
DP2024-04800,70 MONTROSE CR NE,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING (NORTH LOT), SECONDARY SUITE (BASEMENT), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-07-01T00:00:00.000,2024-08-29T00:00:00.000,WINSTON HEIGHTS/MOUNTVIEW,4.0,NE,51.069,-114.044,ESTABLISHED,CENTRE
DP2024-04857,312 MT SELKIRK CL SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT); RELAXATION: SINGLE DETACHED DWELLING (COVERED ENTRY) - BUILDING SETBACK FROM SIDE PROPERTY LINE,Released,2024-07-02T00:00:00.000,2024-10-25T00:00:00.000,MCKENZIE LAKE,14.0,SE,50.917,-113.982,ESTABLISHED,SOUTHEAST
DP2024-04850,1524 35 ST SE,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-07-02T00:00:00.000,2024-10-10T00:00:00.000,ALBERT PARK/RADISSON HEIGHTS,9.0,SE,51.04,-113.983,ESTABLISHED,EAST
DP2024-04848,7412 34 AV NW,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-07-02T00:00:00.000,2024-10-28T00:00:00.000,BOWNESS,1.0,NW,51.084,-114.194,ESTABLISHED,NORTHWEST
DP2024-04845,134 SKYVIEW RANCH ST NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-07-02T00:00:00.000,2024-07-29T00:00:00.000,SKYVIEW RANCH,5.0,NE,51.161,-113.955,DEVELOPING,NORTHEAST
DP2024-04840,442 14 AV NE,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, SECONDARY SUITE (BASEMENT - 2)",Released,2024-07-02T00:00:00.000,2024-12-16T00:00:00.000,RENFREW,9.0,NE,51.065,-114.054,ESTABLISHED,CENTRE
DP2024-04831,107 SHERWOOD BA NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-07-02T00:00:00.000,2024-07-29T00:00:00.000,SHERWOOD,2.0,NW,51.164,-114.146,ESTABLISHED,NORTH
DP2024-04826,115 FAIRVIEW DR SE,Residential - Secondary Suite,"NEW: ACCESSORY RESIDENTIAL BUILDING (GARAGE), BACKYARD SUITE (ABOVE GARAGE)",Released,2024-07-02T00:00:00.000,2024-09-06T00:00:00.000,FAIRVIEW,11.0,SE,50.984,-114.067,ESTABLISHED,SOUTH
DP2024-04821,68 CREEKSIDE TC SW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (9 PHASES, 8 BUILDINGS)",Released,2024-07-02T00:00:00.000,2024-11-12T00:00:00.000,PINE CREEK,13.0,SW,50.862,-114.079,DEVELOPING,SOUTH
DP2024-04916,9735 HARVEST HILLS LI NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - AVPA,Released,2024-07-03T00:00:00.000,2024-08-19T00:00:00.000,HARVEST HILLS,3.0,NE,51.142,-114.055,ESTABLISHED,NORTH
DP2024-04914,19 CROMWELL AV NW,Residential - New Single / Semi / Duplex,REVISION: SINGLE DETACHED DWELLING (CHANGES TO DP2023-03516),Released,2024-07-03T00:00:00.000,2024-08-14T00:00:00.000,COLLINGWOOD,4.0,NW,51.086,-114.096,ESTABLISHED,NORTHWEST
DP2024-04913,554 SHERWOOD BV NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-07-03T00:00:00.000,2024-07-29T00:00:00.000,SHERWOOD,2.0,NW,51.165,-114.152,ESTABLISHED,NORTH
DP2024-04911,92 SAVANNA LI NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - AVPA,Released,2024-07-03T00:00:00.000,2024-07-29T00:00:00.000,SADDLE RIDGE,5.0,NE,51.139,-113.962,DEVELOPING,NORTHEAST
DP2024-04909,5980 DALCASTLE DR NW,Residential - Additions over 10 sq metres,"ADDITION: SINGLE DETACHED DWELLING (REAR ATTACHED GARAGE, 2ND STOREY ABOVE GARAGE); NEW: SECONDARY SUITE (ABOVE GARAGE)",Released,2024-07-03T00:00:00.000,2024-09-13T00:00:00.000,DALHOUSIE,4.0,NW,51.111,-114.174,ESTABLISHED,NORTHWEST
DP2024-04908,3311 7 AV NW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES),  ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-07-03T00:00:00.000,2025-01-29T00:00:00.000,PARKDALE,7.0,NW,51.059,-114.132,ESTABLISHED,CENTRE
DP2024-04905,728 EARL GREY CR SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Released,2024-07-03T00:00:00.000,2024-10-11T00:00:00.000,UPPER MOUNT ROYAL,8.0,SW,51.03,-114.08,ESTABLISHED,CENTRE
DP2024-04903,6312 BOWWOOD DR NW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (2 BUILDINGS), SECONDARY SUITE (5 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE) ",Released,2024-07-03T00:00:00.000,2025-04-07T00:00:00.000,BOWNESS,1.0,NW,51.084,-114.179,ESTABLISHED,NORTHWEST
DP2024-04902,9751 ELBOW DR SW,Residential - Multi-Family,"NEW: DWELLING UNITS (2 BUILDINGS), SECONDARY SUITE (5 SUITES), ACCESSORY RESIDENTIAL BUILDING (CARPORT)",Released,2024-07-03T00:00:00.000,2024-11-28T00:00:00.000,HAYSBORO,11.0,SW,50.967,-114.085,ESTABLISHED,SOUTH
DP2024-04899,1080 COUNTRY HILLS CI NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Released,2024-07-03T00:00:00.000,2024-07-22T00:00:00.000,COUNTRY HILLS,3.0,NW,51.145,-114.069,ESTABLISHED,NORTH
DP2024-04897,412 CANTERBURY PL SW,Residential - Additions over 10 sq metres,ADDITION: SINGLE DETACHED DWELLING (INCREASE ROOF HEIGHT),Released,2024-07-03T00:00:00.000,2024-10-09T00:00:00.000,CANYON MEADOWS,13.0,SW,50.947,-114.09,ESTABLISHED,SOUTH
DP2024-04889,429 23 AV NE,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, SECONDARY SUITE (2, BASEMENT), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Released,2024-07-03T00:00:00.000,2024-09-25T00:00:00.000,WINSTON HEIGHTS/MOUNTVIEW,4.0,NE,51.073,-114.055,ESTABLISHED,CENTRE
