timestamp,pool_price_cad_per_mwh,ail_mw,wind_mw
2024-10-13 17:00:00,19.55,9828,2373.8039915999993
2024-10-13 18:00:00,19.66,9785,2585.072145399999
2024-10-13 19:00:00,19.3,9896,2843.709999700001
2024-10-13 20:00:00,19.47,9883,2953.896192500001
2024-10-13 21:00:00,19.68,9751,2927.5024737
2024-10-13 22:00:00,19.66,9545,2859.7697845999996
2024-10-13 23:00:00,19.43,9324,2701.7914012000015
2024-10-14 00:00:00,19.26,9147,2582.2914865000007
2024-10-14 01:00:00,19.26,8992,2390.0702375000005
2024-10-14 02:00:00,20.55,8911,2172.7194242
2024-10-14 03:00:00,22.85,8886,2128.0436396000005
2024-10-14 04:00:00,23.79,8891,2030.5621975000001
2024-10-14 05:00:00,24.24,8942,2026.7394401
2024-10-14 06:00:00,24.62,9081,1942.1826449999999
2024-10-14 07:00:00,25.77,9217,1830.4775575000003
2024-10-14 08:00:00,26.9,9352,1694.1686522999996
2024-10-14 09:00:00,25.65,9575,1654.1644227
2024-10-14 10:00:00,25.65,9736,1531.5461649999997
2024-10-14 11:00:00,22.46,9933,1556.5690752
2024-10-14 12:00:00,23.41,10027,1696.1584607
2024-10-14 13:00:00,24.8,10001,1805.4567666000005
2024-10-14 14:00:00,24.27,10025,1889.6132141
2024-10-14 15:00:00,27.42,10050,1889.3738689000004
2024-10-14 16:00:00,26.98,10127,1869.5405766999997
2024-10-14 17:00:00,32.63,10090,1885.5672335000004
2024-10-14 18:00:00,22.36,9995,2130.0182583
2024-10-14 19:00:00,22.72,10056,2212.4946628000007
2024-10-14 20:00:00,24.43,9956,2162.0607017000007
2024-10-14 21:00:00,24.07,9738,2075.3098702
2024-10-14 22:00:00,22.85,9384,2185.8414937
2024-10-14 23:00:00,18.76,9133,2567.7056746999992
2024-10-15 00:00:00,17.88,9044,2691.0371507000004
2024-10-15 01:00:00,13.47,8973,2738.0151650000003
2024-10-15 02:00:00,13.49,8835,2510.7746761999992
2024-10-15 03:00:00,20.41,8812,2099.1054475
2024-10-15 04:00:00,25.16,8914,1797.6293713000005
2024-10-15 05:00:00,26.64,9111,1563.4576211
2024-10-15 06:00:00,29.24,9552,1588.8615379
2024-10-15 07:00:00,31.49,10056,1795.4271094000003
2024-10-15 08:00:00,28.57,10159,1731.0012127000002
2024-10-15 09:00:00,158.72,10160,1316.9192887000002
2024-10-15 10:00:00,135.52,10101,1030.915938
2024-10-15 11:00:00,187.83,10126,760.9138463999999
2024-10-15 12:00:00,331.81,10061,407.92713890000005
2024-10-15 13:00:00,978.55,10003,137.5341826
2024-10-15 14:00:00,961.09,9959,116.707803
2024-10-15 15:00:00,932.15,9961,110.33639320000002
2024-10-15 16:00:00,918.51,10048,128.52439060000003
2024-10-15 17:00:00,998.4,10053,118.0805741
2024-10-15 18:00:00,999.99,9989,175.22005199999998
2024-10-15 19:00:00,914.52,10001,391.89471689999993
2024-10-15 20:00:00,591.96,9874,669.4702658000001
2024-10-15 21:00:00,52.92,9739,846.9075861
2024-10-15 22:00:00,42.13,9559,977.2496374999998
2024-10-15 23:00:00,43.94,9305,915.6587918
2024-10-16 00:00:00,49.71,9134,714.1666943999999
2024-10-16 01:00:00,35.16,9022,689.9327948
2024-10-16 02:00:00,37.88,8942,744.6180309999999
2024-10-16 03:00:00,28.78,8932,803.7820962
2024-10-16 04:00:00,38.49,9010,807.8085114000002
2024-10-16 05:00:00,130.81,9155,717.5670989000002
2024-10-16 06:00:00,102.71,9545,973.9299067
2024-10-16 07:00:00,158.71,9997,899.7746554999999
2024-10-16 08:00:00,128.02,10123,1082.6738517000001
2024-10-16 09:00:00,28.79,10124,1202.7457554000002
2024-10-16 10:00:00,24.45,10144,1288.1680950999998
2024-10-16 11:00:00,26.58,10191,1245.5531197
2024-10-16 12:00:00,27.6,10140,1176.1946575000002
2024-10-16 13:00:00,28.75,10099,1341.24254
2024-10-16 14:00:00,28.04,10104,1535.2778395
2024-10-16 15:00:00,24.39,10203,1710.7699446
2024-10-16 16:00:00,19.67,10224,1946.7836461
2024-10-16 17:00:00,19.76,10184,1863.6771906999998
2024-10-16 18:00:00,20.68,10093,1873.2164130999997
2024-10-16 19:00:00,24.56,10123,1862.9054445
2024-10-16 20:00:00,24.3,9974,1910.6288980000006
2024-10-16 21:00:00,21.95,9803,2403.8290793
2024-10-16 22:00:00,21.89,9566,2441.0171953
2024-10-16 23:00:00,14.13,9342,2636.9098276000004
2024-10-17 00:00:00,2.58,9187,2780.4011604
2024-10-17 01:00:00,0.0,9124,3030.3576273999997
2024-10-17 02:00:00,0.0,9060,2975.7020321
2024-10-17 03:00:00,0.0,9042,2854.681636000001
2024-10-17 04:00:00,17.75,9050,2470.619743399999
2024-10-17 05:00:00,20.03,9175,2325.3096859999996
2024-10-17 06:00:00,51.67,9556,1877.7134246
2024-10-17 07:00:00,73.08,10056,1620.2616626000001
2024-10-17 08:00:00,58.08,10097,1546.4039851999999
2024-10-17 09:00:00,29.74,10116,1325.1816557
2024-10-17 10:00:00,36.58,10117,1034.2328367000002
2024-10-17 11:00:00,60.84,10113,1012.6870652000001
2024-10-17 12:00:00,25.88,10095,1080.32303
2024-10-17 13:00:00,25.12,10096,1222.2457786
2024-10-17 14:00:00,27.26,10220,1352.6276143000005
2024-10-17 15:00:00,26.45,10249,1354.5537534999999
2024-10-17 16:00:00,25.21,10232,1326.2520914999998
2024-10-17 17:00:00,26.14,10190,1261.4858078
2024-10-17 18:00:00,50.66,10169,1113.2045349
2024-10-17 19:00:00,55.79,10261,1073.8570148
2024-10-17 20:00:00,103.19,10168,1027.5115515
2024-10-17 21:00:00,76.1,9993,1172.8751172
2024-10-17 22:00:00,29.45,9789,1313.2517107
2024-10-17 23:00:00,46.6,9539,1368.3894174000004
2024-10-18 00:00:00,32.17,9353,1478.2842033
2024-10-18 01:00:00,33.2,9238,1495.2462508999995
2024-10-18 02:00:00,27.76,9172,1622.7952238999999
2024-10-18 03:00:00,25.77,9139,1548.2511196000003
2024-10-18 04:00:00,25.54,9176,1536.1670661999997
2024-10-18 05:00:00,22.9,9371,1612.2437403000001
2024-10-18 06:00:00,26.14,9785,1604.5664713999997
2024-10-18 07:00:00,46.77,10222,1538.4456882
2024-10-18 08:00:00,72.22,10275,1336.70887
