YEAR,FIRE_NUMBER,FIRE_NAME,CURRENT_SIZE,SIZE_CLASS,LATITUDE,LONGITUDE,GENERAL_CAUSE,FIRE_START_DATE,DISPATCHED_RESOURCE,ASSESSMENT_HECTARES,FIRE_SPREAD_RATE,FIRE_TYPE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_SPEED,FUEL_TYPE,INITIAL_ACTION_BY
2023,LWF007,,0.1,A,55.935117,-110.721983,Resident,2023-04-14 14:30,HAC,0.1,1.0,Ground,9.3,50.0,4.0,O1a,HAC
2023,CWF017,,0.1,A,51.050633,-114.703117,Lightning,2023-05-22 12:00,HAC,0.1,1.0,Surface,20.0,30.0,10.0,C2,HAC
2023,HWF047,,0.1,A,58.71965,-118.744683,Incendiary,2023-05-09 19:11,FPD Staff,0.1,1.0,Surface,24.9,86.0,1.0,O1a,Fire Department
2023,HWF126,,0.1,A,59.19305,-119.02745,Lightning,2023-07-10 14:30,FPD Staff,0.1,1.0,Surface,21.0,65.0,2.0,M2,FPD Staff
2023,HWF005,,0.1,A,58.232133,-116.203533,Agriculture Industry,2023-04-17 14:30,HAC,0.1,0.0,Surface,14.0,48.0,10.0,,Fire Department
2023,LWF185,,0.1,A,55.258233,-113.225867,Undetermined,2023-10-08 22:00,HAC,0.1,0.0,Surface,4.0,80.0,2.0,D1,Fire Department
2023,WWF030,,0.1,A,54.095883,-115.804867,Resident,2023-05-17 14:00,HAC,0.1,1.0,Surface,23.0,29.0,5.0,O1b,Fire Department
2023,PWF004,,0.1,A,56.933774,-117.334729,Forest Industry,2023-02-15 12:00,FPD Staff,0.1,0.0,Surface,2.0,55.0,24.0,,Land Owner
2023,GWF042,,0.1,A,55.800017,-119.3447,Oil & Gas Industry,2023-06-12 17:00,Air Tanker,0.1,3.0,Surface,26.0,26.0,20.0,O1a,FPD Staff
2023,MWF060,,0.1,A,56.406117,-111.40575,Other Industry,2023-10-15 14:00,UNIT,0.1,0.1,Surface,15.0,54.0,3.0,M1,Fire Department
2023,RWF023,,0.1,A,52.664333,-115.439133,Lightning,2023-05-03 16:05,HAC,0.1,0.0,Surface,18.0,63.0,0.0,C2,HAC
2023,RWF050,,0.1,A,52.96056,-114.968312,Incendiary,2023-05-19 13:10,FPD Staff,0.1,0.0,Surface,26.0,45.0,5.0,O1b,Fire Department
2023,LWF144,,0.1,A,54.856217,-112.763667,Lightning,2023-06-01 12:00,FPD Staff,0.1,0.0,Ground,21.0,50.0,5.0,C2,HAC
2023,PWF078,,0.1,A,56.671917,-119.164917,Lightning,2023-06-28 20:00,UNIT,0.1,1.0,Surface,20.0,39.0,20.0,C2,UNIT
2023,SWF114,,0.1,A,55.7101,-115.1528,Lightning,2023-06-28 13:45,HAC,0.1,0.0,Ground,25.0,52.0,0.0,C3,HAC
2023,CWF034,,0.1,A,49.481483,-114.452617,Lightning,2023-07-09 14:00,HAC,0.1,1.0,Ground,25.5,35.0,3.0,C3,HAC
2023,LWF024,,0.08,A,54.501017,-111.65385,Undetermined,2023-04-18 15:00,HAC,0.08,0.0,Surface,11.0,37.0,13.0,O1b,Fire Department
2023,WWF010,,0.08,A,54.357661,-116.620694,Undetermined,2023-04-12 15:00,HAC,0.1,0.1,Ground,10.0,58.0,4.0,C2,HAC
2023,LWF182,,0.07,A,55.91835,-110.731533,Undetermined,2023-09-26 13:00,HAC,0.07,0.0,Ground,24.0,30.0,12.0,,HAC
2023,PWF069,,0.05,A,57.5802,-118.139367,Lightning,2023-06-24 15:00,HAC,0.1,1.0,Surface,17.0,40.0,10.0,C2,HAC
2023,LWF065,,0.05,A,55.9163,-110.7392,Incendiary,2023-04-28 14:20,HAC,0.05,0.1,Surface,16.0,22.0,20.0,O1a,HAC
2023,GWF004,,0.05,A,55.079383,-117.4873,Resident,2023-04-21 19:05,FPD Staff,0.05,0.0,Surface,6.0,45.0,10.0,C3,Fire Department
2023,PWF041,,0.03,A,56.358217,-117.086333,Undetermined,2023-05-10 16:40,FPD Staff,0.03,0.0,Surface,23.0,21.0,8.0,O1a,Public
2023,LWF124,,0.03,A,55.670917,-111.089283,Incendiary,2023-05-17 9:50,HAC,0.1,0.0,Surface,6.0,74.0,11.0,O1a,HAC
2023,RWF062,,0.02,A,52.046597,-115.242363,Power Line Industry,2023-06-30 16:08,HAC,0.02,1.0,Surface,24.0,55.0,0.0,O1b,HAC
2023,PWF102,,0.02,A,57.721883,-117.800217,Lightning,2023-07-15 19:00,HAC,0.1,0.0,Surface,21.0,78.0,1.0,M2,HAC
2023,RWF071,,0.01,A,52.043217,-116.400533,Lightning,2023-08-06 22:00,HAC,0.01,1.0,Surface,22.0,48.0,5.0,C3,HAC
2023,WWF047,,0.01,A,54.070607,-115.594055,Resident,2023-06-26 16:45,HAC,0.01,0.0,Ground,25.0,41.0,0.0,O1b,Land Owner
2023,CWF072,,0.01,A,50.812839,-114.632749,Recreation,2023-09-03 6:00,FPD Staff,0.01,,,,,,,FPD Staff
2023,EWF046,,0.01,A,53.598417,-115.3803,Undetermined,2023-05-16 19:30,HAC,0.01,0.0,Surface,15.6,66.0,2.0,O1a,Public
2023,SWF079,,0.01,A,56.060033,-113.7349,Recreation,2023-05-14 6:00,FPD Staff,0.01,,,,,,,FPD Staff
2023,HWF149,,0.01,A,58.6077,-117.158133,Power Line Industry,2023-08-19 18:40,HAC,0.01,1.0,Surface,19.0,52.0,5.0,O1a,HAC
2023,RWF060,,0.01,A,52.40625,-114.965,Resident,2023-06-24 16:45,FPD Staff,0.01,0.0,Surface,19.0,49.0,5.0,S2,Land Owner
2023,EWF016,,0.01,A,53.626195,-115.989925,Agriculture Industry,2023-01-15 12:00,FPD Staff,0.01,0.0,Ground,22.0,20.0,16.0,S1,Land Owner
2023,SWF135,,0.01,A,55.826053,-115.218682,Power Line Industry,2023-09-22 18:20,HAC,0.01,0.0,Ground,20.0,45.0,25.0,O1a,HAC
2023,RWF063,,0.01,A,52.809505,-115.415328,Lightning,2023-06-30 19:53,HAC,0.01,1.0,Ground,20.0,62.0,0.0,M2,HAC
2023,LWF194,,0.01,A,54.702333,-113.635066,Recreation,2023-12-28 0:00,FPD Staff,0.01,0.0,Ground,-4.0,90.0,9.0,C2,FPD Staff
2023,GWF036,,0.01,A,55.497117,-119.47405,Power Line Industry,2023-06-04 14:00,HAC,0.01,0.0,Ground,19.0,24.0,15.0,M2,Fire Department
2023,HWF146,,0.01,A,58.5403,-116.492783,Agriculture Industry,2023-08-06 12:55,HAC,0.01,0.0,Surface,24.0,37.0,15.0,,HAC
2023,SWF130,,0.01,A,55.265967,-114.5913,Power Line Industry,2023-08-05 19:00,HAC,0.01,0.0,Surface,19.0,61.0,2.0,O1a,Fire Department
2023,CWF064,,0.01,A,50.900833,-114.692617,Recreation,2023-08-13 18:00,HAC,0.01,,,,,,,HAC
2023,SWF071,,0.01,A,55.3388,-114.973267,Resident,2023-01-08 13:00,FPD Staff,0.01,0.0,Ground,7.0,87.0,8.0,,Fire Department
2023,RWF068,,0.01,A,51.687867,-115.217783,Lightning,2023-07-20 16:40,HAC,0.01,0.0,Surface,21.0,52.0,0.0,C3,HAC
