readingdate,station_name,parameter,value,units,latitude,longitude
2025-09-15T09:00:00.000,Calgary Varsity,Fine Particulate Matter,19.2,μg/m3,51.08272,-114.138994
2025-09-16T07:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-09-15T00:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T18:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,23.0,μg/m3,51.030789,-114.008836
2025-09-16T00:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,27.1,μg/m3,51.030789,-114.008836
2025-09-16T15:00:00.000,Calgary Central Inglewood,Air Quality Health Index,4.0,,51.030789,-114.008836
2025-09-15T23:00:00.000,Calgary Varsity,Fine Particulate Matter,24.2,μg/m3,51.08272,-114.138994
2025-09-15T07:00:00.000,Calgary Southeast,Fine Particulate Matter,15.4,μg/m3,50.955122,-113.969742
2025-09-15T22:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-15T22:00:00.000,Calgary Southeast,Air Quality Health Index,4.0,,50.955122,-113.969742
2025-09-15T07:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-16T15:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-16T04:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T00:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-15T13:00:00.000,Calgary Varsity,Fine Particulate Matter,23.8,μg/m3,51.08272,-114.138994
2025-09-15T04:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
